,assists,blocked,evenTimeOnIce_s,faceOffWins,faceoffTaken,giveaways,goals,hits,penaltyMinutes_s,plusMinus,powerPlayAssists,powerPlayGoals,powerPlayTimeOnIce_s,shortHandedAssists,shortHandedGoals,shortHandedTimeOnIce_s,shots,takeaways,timeOnIce_s,games_played,position
8476419,0.0,0.428571428571,517.535714286,4.21428571429,8.78571428571,0.392857142857,0.0714285714286,1.46428571429,25.7142857143,-0.178571428571,0.0,0.0,0.214285714286,0.0,0.0,97.1428571429,1.10714285714,0.285714285714,614.892857143,28.0,Center
8474605,0.358490566038,0.905660377358,801.0,0.0,0.0377358490566,0.509433962264,0.0754716981132,1.01886792453,22.641509434,-0.0188679245283,0.169811320755,0.0566037735849,162.056603774,0.0,0.0,19.0188679245,1.83018867925,0.0754716981132,982.075471698,53.0,Defenseman
8475913,0.210526315789,0.368421052632,767.842105263,0.0526315789474,0.0526315789474,0.315789473684,0.210526315789,0.526315789474,12.6315789474,0.263157894737,0.0,0.0526315789474,87.0526315789,0.0,0.0,13.6315789474,1.89473684211,0.947368421053,868.526315789,19.0,Right Wing
8473468,0.157894736842,1.05263157895,862.473684211,0.0,0.0,0.614035087719,0.0350877192982,2.82456140351,67.3684210526,0.157894736842,0.0,0.0,7.82456140351,0.0175438596491,0.0,180.964912281,1.0,0.105263157895,1051.26315789,57.0,Defenseman
8474578,0.658536585366,1.23170731707,1288.47560976,0.0,0.0,1.40243902439,0.243902439024,1.48780487805,26.3414634146,-0.182926829268,0.317073170732,0.0609756097561,245.463414634,0.0,0.0,90.4390243902,3.13414634146,0.829268292683,1624.37804878,82.0,Defenseman
8474884,0.12,0.28,652.08,0.24,0.36,0.36,0.12,0.72,4.8,-0.08,0.08,0.04,138.76,0.0,0.0,0.28,2.44,0.72,791.12,25.0,Left Wing
8469466,0.4,0.44,805.44,0.0133333333333,0.0533333333333,0.56,0.173333333333,0.493333333333,19.2,-0.2,0.146666666667,0.0266666666667,141.706666667,0.0,0.0,10.36,1.84,0.586666666667,957.506666667,75.0,Right Wing
8475796,0.136363636364,1.29545454545,973.681818182,0.0,0.0,0.431818181818,0.0227272727273,0.840909090909,21.8181818182,-0.25,0.0454545454545,0.0,72.75,0.0,0.0,130.886363636,1.15909090909,0.272727272727,1177.31818182,44.0,Defenseman
8473571,0.159420289855,1.63768115942,986.405797101,0.0,0.0,0.449275362319,0.0869565217391,0.492753623188,12.1739130435,-0.188405797101,0.0434782608696,0.0289855072464,161.043478261,0.0144927536232,0.0,62.5217391304,1.42028985507,0.173913043478,1209.97101449,69.0,Defenseman
8473426,0.117647058824,2.36764705882,946.558823529,0.0,0.0,0.514705882353,0.0147058823529,3.05882352941,64.4117647059,-0.426470588235,0.0,0.0,1.61764705882,0.0147058823529,0.0,120.852941176,0.691176470588,0.161764705882,1069.02941176,68.0,Defenseman
8471338,0.119402985075,0.373134328358,544.970149254,0.179104477612,0.462686567164,0.164179104478,0.0298507462687,0.89552238806,22.3880597015,-0.044776119403,0.0,0.0,1.76119402985,0.0,0.0,105.791044776,0.835820895522,0.194029850746,652.52238806,67.0,Center
8474570,0.333333333333,0.305555555556,871.847222222,6.29166666667,13.4583333333,0.5,0.277777777778,0.652777777778,16.6666666667,-0.361111111111,0.138888888889,0.125,188.402777778,0.0,0.0,28.3194444444,2.52777777778,0.333333333333,1088.56944444,72.0,Center
